programming_id,student_id,language,problems_solved,assessments_completed,mini_projects,certifications_earned,latest_project_score
243,14,AI/ML,76,3,5,18,28
244,61,DataScience,179,9,2,12,97
245,74,BlockChain,17,1,4,32,66
246,6,Full Stack Development,41,0,4,35,43
247,97,Quantum Computing,239,6,0,3,93
248,29,Full Stack Development,222,2,0,26,1
249,89,BlockChain,51,9,7,2,89
250,54,Angular JS,294,6,8,36,44
251,11,BlockChain,280,9,9,11,39
252,16,DataScience,4,6,7,48,15
253,49,DataScience,92,1,3,15,96
254,97,BlockChain,168,7,0,22,95
255,71,DataScience,72,9,6,5,45
256,93,Angular JS,285,3,4,35,28
257,4,Full Stack Development,54,6,5,12,8
258,97,Quantum Computing,176,3,5,40,86
259,73,BlockChain,247,8,9,45,62
260,17,AI/ML,253,4,6,41,1
261,87,Full Stack Development,257,6,6,11,91
262,7,AI/ML,166,8,4,13,89
263,5,Full Stack Development,132,1,0,9,71
264,25,Quantum Computing,45,6,6,24,14
265,68,DataScience,85,6,1,33,22
266,51,BlockChain,29,7,0,32,47
267,8,Full Stack Development,124,5,5,31,7
268,61,Full Stack Development,148,6,5,37,37
269,84,Quantum Computing,222,5,4,10,19
270,25,Full Stack Development,7,2,8,41,72
271,55,AI/ML,249,2,1,37,3
272,52,Full Stack Development,148,2,5,21,91
273,89,DataScience,243,5,7,28,13
274,55,AI/ML,283,5,8,29,28
275,77,Angular JS,12,7,7,3,97
276,63,Full Stack Development,24,1,5,17,27
277,79,Full Stack Development,294,0,0,39,43
278,57,Full Stack Development,40,9,9,11,82
279,18,Full Stack Development,206,0,9,21,36
280,25,Full Stack Development,267,8,1,0,21
281,78,Quantum Computing,113,9,3,45,67
282,48,Quantum Computing,207,8,2,42,6
283,38,Angular JS,153,1,5,43,76
284,97,BlockChain,239,8,7,2,62
285,16,DataScience,136,1,4,35,34
286,69,AI/ML,99,2,4,14,29
287,69,Angular JS,188,8,1,14,35
288,66,AI/ML,24,7,2,43,77
289,52,BlockChain,90,5,6,30,92
290,48,BlockChain,202,2,2,32,82
291,42,BlockChain,73,8,6,13,21
292,9,Full Stack Development,265,4,3,29,67
293,90,AI/ML,103,0,1,35,22
294,22,Angular JS,220,5,8,24,10
295,92,Quantum Computing,251,9,9,28,20
296,70,Full Stack Development,166,9,5,2,8
297,4,DataScience,244,6,3,49,14
298,56,Quantum Computing,79,1,2,12,37
299,28,DataScience,128,2,4,34,2
300,20,Angular JS,204,3,0,26,73
301,78,AI/ML,25,6,2,47,95
302,43,DataScience,207,9,1,16,31
303,49,BlockChain,94,9,9,35,9
304,50,Quantum Computing,265,2,7,47,45
305,21,Full Stack Development,262,9,0,33,6
306,90,BlockChain,82,7,4,9,90
307,97,Full Stack Development,136,0,7,13,38
308,11,BlockChain,219,2,4,49,6
309,87,BlockChain,246,0,8,47,23
310,54,AI/ML,25,1,9,42,54
311,30,Angular JS,23,9,9,45,34
312,78,AI/ML,199,3,6,12,40
313,34,Full Stack Development,68,5,9,2,74
314,96,Angular JS,77,6,6,42,65
315,10,DataScience,26,5,6,36,21
316,64,Quantum Computing,6,7,8,8,70
317,34,DataScience,127,8,3,38,50
318,90,Angular JS,233,0,3,39,58
319,48,Angular JS,37,3,9,29,72
320,18,Angular JS,47,1,1,28,18
321,16,AI/ML,138,8,9,45,9
322,76,Full Stack Development,13,8,8,8,28
323,50,Angular JS,38,4,0,15,74
324,57,Quantum Computing,260,8,1,20,22
325,69,DataScience,113,3,1,27,96
326,63,Quantum Computing,114,3,1,33,80
327,45,Quantum Computing,293,3,6,46,52
328,53,Quantum Computing,47,7,9,14,53
329,86,BlockChain,294,9,9,47,71
330,4,Quantum Computing,258,3,3,22,18
331,99,Angular JS,146,8,3,12,57
332,36,AI/ML,176,6,3,36,88
333,30,Full Stack Development,293,7,2,33,68
334,96,Full Stack Development,225,4,5,28,1
335,65,BlockChain,69,6,9,2,3
336,90,BlockChain,150,3,1,11,39
337,81,BlockChain,92,9,8,43,95
338,36,BlockChain,211,1,7,39,97
339,97,AI/ML,218,4,0,41,40
340,97,BlockChain,134,9,5,16,45
341,72,Full Stack Development,71,5,1,48,3
342,23,Full Stack Development,33,3,4,46,14
343,89,Angular JS,175,8,4,44,15
344,29,Full Stack Development,97,8,3,34,27
345,88,DataScience,268,9,6,18,41
346,42,AI/ML,250,2,8,23,43
347,31,Angular JS,241,4,3,37,95
348,41,Full Stack Development,272,6,8,39,77
349,9,Full Stack Development,253,7,4,9,51
350,91,AI/ML,180,2,3,41,55
351,48,Quantum Computing,207,3,5,49,89
352,42,Angular JS,60,8,5,11,1
353,9,Quantum Computing,43,4,7,36,84
354,3,Full Stack Development,95,3,5,8,71
355,27,BlockChain,75,1,4,43,79
356,50,Full Stack Development,163,0,1,27,29
357,95,Quantum Computing,149,7,6,42,24
358,23,Full Stack Development,264,1,4,16,30
359,68,DataScience,264,9,4,21,24
360,8,Full Stack Development,172,5,3,36,11
361,13,Angular JS,112,3,8,8,11
362,26,Angular JS,274,7,2,38,91
363,18,AI/ML,44,0,2,0,29
364,9,BlockChain,266,1,3,2,28
365,50,Quantum Computing,23,7,2,6,30
366,5,Quantum Computing,281,3,8,1,84
367,27,Full Stack Development,149,4,3,37,33
368,75,BlockChain,168,7,4,28,86
369,15,BlockChain,176,5,6,23,56
370,53,DataScience,162,6,3,1,43
371,71,DataScience,245,4,7,2,87
372,92,Quantum Computing,27,4,7,7,40
373,62,AI/ML,121,3,3,16,92
374,14,Quantum Computing,296,0,3,20,48
375,96,DataScience,145,6,4,32,93
376,97,DataScience,214,2,9,20,0
377,27,Quantum Computing,126,5,8,14,12
378,99,DataScience,9,7,4,36,50
379,19,Angular JS,166,5,7,42,38
380,73,AI/ML,129,9,5,7,7
381,97,Full Stack Development,203,4,9,17,82
382,53,Full Stack Development,146,0,1,7,48
383,29,Full Stack Development,96,4,9,26,83
384,79,Angular JS,50,4,2,27,33
385,90,Angular JS,120,0,7,11,97
386,22,Quantum Computing,154,3,3,33,15
387,80,Angular JS,85,4,4,1,37
388,45,DataScience,3,9,6,3,94
389,11,Quantum Computing,235,6,3,37,25
390,28,Quantum Computing,237,3,2,33,83
391,12,AI/ML,193,3,5,42,46
392,42,Angular JS,289,6,4,24,5
393,98,Quantum Computing,39,1,4,38,58
394,35,Quantum Computing,215,4,8,37,98
395,40,Full Stack Development,0,6,2,32,54
396,60,BlockChain,164,7,1,47,88
397,16,Full Stack Development,27,7,1,5,25
398,62,Quantum Computing,286,0,0,47,63
399,40,Full Stack Development,283,9,0,39,89
400,31,Angular JS,215,8,3,26,89
401,80,Full Stack Development,129,2,4,19,5
402,44,Angular JS,136,5,6,22,37
403,92,DataScience,218,5,4,21,38
404,71,BlockChain,104,0,3,35,34
405,70,Quantum Computing,272,4,3,45,95
406,17,Quantum Computing,57,8,1,30,80
407,47,Angular JS,33,7,5,34,61
408,37,AI/ML,81,5,0,0,78
409,37,DataScience,240,7,1,23,97
410,81,Quantum Computing,128,1,6,41,18
411,88,DataScience,66,6,7,19,81
412,93,Angular JS,15,3,7,6,32
413,48,AI/ML,290,1,9,43,26
414,67,BlockChain,192,1,9,36,1
415,22,Full Stack Development,38,2,9,8,0
416,95,Full Stack Development,132,6,2,23,63
417,92,Quantum Computing,136,2,1,46,26
418,99,Quantum Computing,292,2,4,44,68
419,54,Quantum Computing,139,6,3,8,10
420,47,Quantum Computing,133,6,0,8,50
421,26,Quantum Computing,167,7,3,11,93
422,24,Quantum Computing,132,7,1,41,2
423,39,Angular JS,217,2,0,0,90
424,18,BlockChain,197,5,1,22,8
425,34,AI/ML,123,1,3,33,37
426,48,AI/ML,258,4,4,18,47
427,15,Full Stack Development,247,2,3,6,6
428,13,Full Stack Development,175,9,4,48,50
429,2,Quantum Computing,106,9,4,0,26
430,64,BlockChain,191,4,0,13,25
431,87,AI/ML,211,2,2,46,84
432,58,DataScience,219,2,7,39,74
433,77,AI/ML,248,1,1,23,5
434,9,Angular JS,113,1,2,0,45
435,93,Angular JS,101,0,4,4,2
436,72,AI/ML,32,1,0,39,43
437,84,DataScience,86,4,9,20,5
438,33,AI/ML,153,0,0,3,18
439,93,Quantum Computing,169,4,4,11,9
440,89,AI/ML,167,4,0,47,35
441,67,BlockChain,192,0,5,32,22
442,50,DataScience,71,6,1,37,21
443,26,AI/ML,115,7,0,47,57
444,60,DataScience,45,1,6,37,40
445,28,Angular JS,38,7,1,1,97
446,84,Angular JS,195,9,6,25,82
447,93,Angular JS,236,7,1,33,58
448,97,AI/ML,281,7,4,22,59
449,22,Angular JS,77,9,1,39,42
450,70,BlockChain,267,9,9,43,33
451,40,BlockChain,253,0,6,9,21
452,24,Full Stack Development,164,9,1,9,54
453,84,Angular JS,162,7,6,30,37
454,31,BlockChain,158,0,0,23,88
455,84,BlockChain,50,6,2,6,61
456,36,BlockChain,209,7,3,23,27
457,65,BlockChain,51,9,4,32,45
458,59,Quantum Computing,164,3,2,42,55
459,99,Angular JS,151,0,1,14,26
460,66,AI/ML,282,2,5,1,44
461,84,Quantum Computing,190,0,1,38,27
462,75,Quantum Computing,57,5,1,34,64
463,69,Quantum Computing,283,3,6,4,46
464,83,AI/ML,230,9,4,20,69
465,5,AI/ML,48,6,9,39,16
466,23,Quantum Computing,84,8,6,43,27
467,62,Full Stack Development,111,3,6,22,12
468,38,AI/ML,121,5,6,31,6
469,12,BlockChain,242,9,5,6,2
470,3,DataScience,289,2,3,45,29
471,57,Full Stack Development,175,6,7,11,62
472,69,Full Stack Development,277,4,2,21,96
473,14,DataScience,232,8,2,36,19
474,67,Quantum Computing,230,5,3,43,13
475,79,Quantum Computing,81,9,2,44,69
476,30,DataScience,133,6,6,46,5
477,30,DataScience,214,0,7,9,84
478,85,DataScience,37,2,5,6,81
479,82,Angular JS,68,2,7,26,83
480,12,DataScience,103,3,5,11,75
481,51,Full Stack Development,134,5,2,2,50
482,13,Angular JS,71,9,1,19,61
483,44,BlockChain,15,6,3,8,1
484,63,DataScience,151,1,8,9,97
485,90,Full Stack Development,230,0,1,47,13
486,95,Full Stack Development,11,5,7,3,64
487,77,Angular JS,256,6,9,38,39
488,96,Quantum Computing,197,6,5,34,35
489,96,AI/ML,31,2,6,16,50
490,82,Quantum Computing,69,9,9,49,44
491,8,Quantum Computing,148,2,1,42,0
492,93,Full Stack Development,214,8,0,4,78
493,15,AI/ML,92,6,2,34,31
494,66,Angular JS,245,3,1,34,63
495,73,AI/ML,176,6,7,5,89
496,37,DataScience,245,7,9,36,24
497,86,Angular JS,232,0,0,2,37
498,46,AI/ML,34,6,0,0,83
499,22,Full Stack Development,78,2,1,27,19
500,79,DataScience,53,8,8,47,96
